timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-22 19:29:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:29:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:29:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:29:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:29:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:30:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:30:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:30:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:30:23];[Script 1];192.168.178.117;Regler;True;14;13328;19614;11858;
[2026-09-22 19:30:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:30:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:30:38];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:30:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:30:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:30:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:30:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:30:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:31:08];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:31:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:31:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:31:23];[Script 1];192.168.178.117;Regler;True;17;13328;19614;11858;
[2026-09-22 19:31:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:31:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:31:38];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:31:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:31:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:31:53];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:31:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:31:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:32:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:32:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:32:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:32:23];[Script 1];192.168.178.117;Regler;True;15;13328;19614;11858;
[2026-09-22 19:32:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:32:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:32:38];[Script 1];192.168.178.117;Regler;True;14;13342;19614;11844;
[2026-09-22 19:32:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:32:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:32:53];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:32:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:32:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:33:08];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:33:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:33:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:33:23];[Script 1];192.168.178.117;Regler;True;8;13342;19614;11844;
[2026-09-22 19:33:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:33:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:33:38];[Script 1];192.168.178.117;Regler;True;17;13342;19614;11844;
[2026-09-22 19:33:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:33:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:33:53];[Script 1];192.168.178.117;Regler;True;7;13342;19614;11844;
[2026-09-22 19:33:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:33:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:34:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:34:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:34:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
