timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-22 19:54:23];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:54:38];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:54:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:54:38];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:54:53];[Script 1];192.168.178.117;Regler;True;16;13342;19614;11844;
[2026-09-22 19:54:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:54:53];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:55:08];[Script 1];192.168.178.117;Regler;True;8;13342;19614;11844;
[2026-09-22 19:55:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:55:08];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:55:23];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:55:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:55:23];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:55:38];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:55:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:55:38];[Script 1];192.168.178.151;watchdog;True;0;7154;10962;18032;
[2026-09-22 19:55:53];[Script 1];192.168.178.117;Regler;True;15;13342;19614;11844;
[2026-09-22 19:55:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:55:53];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:56:08];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:56:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:56:08];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:56:23];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:56:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:56:23];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:56:38];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:56:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:56:38];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:56:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:56:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:56:53];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:57:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:57:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:57:08];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:57:23];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:57:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:57:23];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:57:38];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:57:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:57:38];[Script 1];192.168.178.151;watchdog;True;1;7658;11018;17528;
[2026-09-22 19:57:53];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:57:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:57:53];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:58:08];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:58:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:58:08];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-22 19:58:23];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:58:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:58:23];[Script 1];192.168.178.151;watchdog;True;1;7154;11018;18032;
[2026-09-23 07:21:22];[Script 1];192.168.178.117;Regler;True;10;13972;19614;11214;
[2026-09-23 07:21:22];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:21:22];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:21:37];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 07:21:37];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:21:37];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:21:52];[Script 1];192.168.178.117;Regler;True;9;13356;19614;11830;
[2026-09-23 07:21:52];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:21:52];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:22:07];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:22:07];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:22:07];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:22:22];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:22:22];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:22:22];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:22:37];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 07:22:37];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:22:37];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:22:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:22:52];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:22:52];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:23:07];[Script 1];192.168.178.117;Regler;True;9;13356;19614;11830;
[2026-09-23 07:23:07];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:23:07];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:23:22];[Script 1];192.168.178.117;Regler;True;10;13972;19614;11214;
[2026-09-23 07:23:22];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:23:22];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:23:37];[Script 1];192.168.178.117;Regler;True;15;13356;19614;11830;
[2026-09-23 07:23:37];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:23:37];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
[2026-09-23 07:23:52];[Script 1];192.168.178.117;Regler;True;10;13356;19614;11830;
[2026-09-23 07:23:52];[Script 1];192.168.178.149;zenDash;True;0;8036;12026;17150;
[2026-09-23 07:23:52];[Script 1];192.168.178.151;watchdog;True;1;7154;11046;18032;
